快照日期,board_code,一级行业,二级行业,三级行业,当前排名,当前涨跌幅,今开,最高,最低,现价,振幅,换手率,成交额_亿元,昨日排名,昨日涨跌幅,排名较昨日改善,含今日5日涨跌幅,含今日10日涨跌幅,截至昨日20日涨跌幅,截至昨日60日涨跌幅,当前较60日峰值回撤,6月行情涨跌幅,7月至当前涨跌幅,轮动档位,原始轮动标签,轮动得分,两周涨跌幅,B周涨跌幅,近后半段排名分位,量能后半段前半段比,科技口径
2026-07-17,BK1603,医药生物,医疗器械,体外诊断,300,-3.9400,3316.7900,3340.2300,3195.0700,3195.0700,4.3600,1.3100,37.7108,260,-0.4400,-40,1.4383,-1.6379,2.9245,-13.4971,-21.5191,-11.9537,2.2368,上升轮动,上升轮动,39.3000,2.3965,5.5988,0.2825,0.8408,非核心科技
2026-07-17,BK1445,计算机,计算机设备,安防设备,301,-3.9800,4874.3600,4908.6700,4724.9100,4726.1900,3.7300,0.9500,37.7588,297,-1.1100,-4,-9.7791,-10.5325,-9.8071,-15.9495,-24.2987,-2.7508,-11.1476,退潮,退潮,-18.2000,-6.8241,-6.0395,0.7519,0.7976,核心科技
2026-07-17,BK1329,电子,半导体,集成电路制造,302,-4.0600,4243.2100,4332.6300,4107.8100,4110.2900,5.2500,2.2600,211.7265,312,-1.8100,10,-24.4111,-14.5025,-2.6002,39.4042,-24.4111,19.3459,-21.4397,退潮,退潮,-6.0000,-10.8844,-21.2123,0.8819,0.8904,核心科技
2026-07-17,BK1598,医药生物,生物制品,疫苗,303,-4.0700,3867.1800,3882.8500,3736.3600,3750.7100,3.7500,1.8900,26.2143,316,-2.0500,13,0.1162,-3.7220,4.8127,-10.1654,-21.0223,-4.7368,-2.2146,普通轮动,普通轮动,32.1000,0.3628,4.3638,0.3323,1.2449,非核心科技
2026-07-17,BK1410,机械设备,自动化设备,其他自动化设备,304,-4.0800,6618.1200,6633.6200,6338.7500,6366.8400,4.4400,1.6800,47.5323,305,-1.4200,1,-14.3225,-19.5971,-21.2257,-14.6790,-25.7272,-0.9796,-20.5905,普通轮动,普通轮动,-3.8000,-16.1772,-10.6781,0.8706,0.7323,非核心科技
2026-07-17,BK1454,家用电器,黑色家电,其他黑色家电,305,-4.0900,2607.6400,2627.3900,2514.5100,2514.8200,4.3100,1.7800,5.4787,267,-0.5300,-38,-8.1848,-13.7775,-10.3327,-19.7218,-29.8807,-7.6363,-14.0482,普通轮动,普通轮动,-1.2000,-10.1006,-4.2695,0.6499,0.9294,非核心科技
2026-07-17,BK1299,传媒,影视院线,影视动漫制作,306,-4.1000,3335.3300,3390.0200,3194.7700,3195.4500,5.8600,3.6300,43.8021,204,0.1700,-102,-5.7559,-6.6706,-9.0367,-25.2892,-30.1999,-23.4997,-3.0492,退潮,退潮,-7.2000,-2.6805,-1.7267,0.5312,1.0618,非核心科技
2026-07-17,BK1295,传媒,数字媒体,其他数字媒体,307,-4.2500,963.8700,995.8000,919.8100,931.9400,7.8100,8.4900,8.3292,231,-0.0600,-76,-7.2954,-13.6632,-17.0670,18.5278,-30.2054,-0.0804,-9.3781,普通轮动,普通轮动,8.3000,-9.8311,-3.1806,0.5709,0.5649,非核心科技
2026-07-17,BK1478,建筑装饰,装修装饰Ⅱ,装修装饰Ⅲ,308,-4.2600,813.0000,815.1000,782.5100,782.8300,3.9900,1.3500,12.5418,296,-1.0900,-12,-7.8819,-11.0862,-7.4297,-10.6935,-25.5227,-8.3502,-8.9110,普通轮动,普通轮动,-0.4000,-7.1299,-3.7830,0.6588,1.0062,非核心科技
2026-07-17,BK1500,美容护理,医疗美容,医美耗材,309,-4.3300,1426.2600,1485.5100,1385.0400,1387.1200,6.9300,1.6800,10.1218,153,0.5400,-156,4.5385,0.3922,4.8205,-14.7264,-20.0521,-9.9228,2.5423,普通轮动,普通轮动,39.2000,4.9359,9.2699,0.3680,1.6515,非核心科技
2026-07-17,BK1616,有色金属,贵金属,白银,310,-4.4500,3634.5000,3634.5000,3459.8300,3519.5400,4.7400,2.3900,18.4741,326,-2.6600,16,-12.8396,-19.3121,-25.8744,-42.9759,-48.1635,-19.8530,-15.9517,普通轮动,普通轮动,-4.7000,-15.5543,-8.7804,0.6368,0.4650,非核心科技
2026-07-17,BK1605,医药生物,医疗器械,医疗设备,311,-4.4800,5721.2700,5741.8200,5489.4300,5489.4900,4.3900,1.8400,66.2077,294,-0.9800,-17,-3.1023,-6.5245,-3.5129,-16.3267,-22.8895,-10.7841,-3.1300,普通轮动,普通轮动,3.6000,-2.1403,1.4423,0.4243,0.8814,非核心科技
2026-07-17,BK1617,有色金属,贵金属,黄金,312,-4.5400,5099.9300,5100.0700,4866.3900,4953.3000,4.5000,1.8800,76.2865,332,-3.1900,20,-11.1945,-9.3461,-18.8137,-33.6525,-38.9868,-17.9427,-5.5295,退潮,退潮,-9.9000,-5.0347,-6.9710,0.6030,0.5961,非核心科技
2026-07-17,BK1338,电子,消费电子,消费电子零部件及组装,313,-4.6900,13064.2300,13075.6300,12508.0700,12523.9200,4.3200,1.7800,440.3617,303,-1.3700,-10,-14.4150,-16.9749,-18.0991,-8.5191,-24.5959,0.7157,-20.7502,普通轮动,普通轮动,-3.8000,-12.8894,-10.2035,0.8433,0.7980,核心科技
