date,open,high,low,close,volume,amount,adjustflag,turn,pctChg,ma5,ma10,ma20,ma60
2026-01-20,82.38,86.97,82.12,86.02,69698585,5933750505.42,2,2.2265,4.3932,80.88,80.227,78.6865,
2026-01-21,86.2,86.69,83.8,84.08,47391462,4009265975.0,2,1.5139,-2.2553,82.136,80.442,79.101,
2026-01-22,85.17,86.3,83.8,85.3,45492207,3871705024.5,2,1.4532,1.451,83.304,81.003,79.626,
2026-01-23,85.64,86.46,83.8,84.25,39709089,3361923595.03,2,1.2685,-1.2309,84.41,81.49300000000001,79.985,
2026-01-26,84.25,87.88,83.99,84.97,55512198,4774097644.08,2,1.7733,0.8546,84.924,82.176,80.398,
2026-01-27,84.95,87.48,83.53,84.7,44754634,3817913823.26,2,1.4296,-0.3178,84.66,82.77,80.784,
2026-01-28,84.7,89.98,84.7,87.31,81065182,7133732216.84,2,2.5896,3.0815,85.306,83.721,81.34200000000001,
2026-01-29,88.1,89.97,86.19,87.6,61152217,5361337053.24,2,1.9535,0.3321,85.766,84.535,81.872,
2026-01-30,86.96,89.61,85.19,87.97,49190201,4302762967.26,2,1.5713,0.4224,86.51,85.46000000000001,82.4365,
2026-02-02,86.6,86.96,79.58,80.33,82870072,6826489708.62,2,2.6472,-8.6848,85.582,85.253,82.5865,
2026-02-03,81.68,83.64,81.4,83.34,42700097,3528261938.86,2,1.364,3.747,85.31,84.98499999999999,82.60600000000001,
2026-02-04,83.8,85.2,82.98,84.8,31262115,2631691799.09,2,0.9986,1.7519,84.808,85.057,82.7495,
2026-02-05,85.79,86.39,82.5,83.61,27227242,2289647442.12,2,0.8697,-1.4033,84.00999999999999,84.888,82.9455,
2026-02-06,81.94,88.46,81.52,86.7,54363293,4686433761.68,2,1.7366,3.6957,83.756,85.133,83.313,
2026-02-09,86.85,88.3,85.66,87.02,34252439,2970495574.95,2,1.0942,0.3691,85.09400000000001,85.338,83.75699999999999,
2026-02-10,86.66,86.66,84.03,86.0,32274504,2749263214.76,2,1.031,-1.1721,85.626,85.468,84.119,
2026-02-11,85.59,89.88,84.78,88.85,49790969,4406263054.86,2,1.5905,3.314,86.43599999999999,85.62199999999999,84.67150000000001,
2026-02-12,88.8,89.52,87.7,88.0,27602811,2440345108.42,2,0.8817,-0.9567,87.314,85.662,85.0985,
2026-02-13,87.01,87.06,84.65,84.96,34240209,2929119600.86,2,1.0938,-3.4545,86.966,85.361,85.41049999999998,
2026-02-24,86.38,87.39,84.77,87.25,29640230,2561819197.26,2,0.9468,2.6954,87.012,86.053,85.65299999999999,
2026-02-25,87.88,92.24,87.8,89.71,63119485,5724902977.46,2,2.0163,2.8195,87.75399999999999,86.69000000000001,85.8375,
2026-02-26,89.69,92.28,89.26,90.02,41639103,3769636851.91,2,1.3301,0.3456,87.98799999999999,87.212,86.13449999999999,
2026-02-27,90.02,94.28,89.92,93.0,46742493,4319534828.84,2,1.4931,3.3104,88.98799999999999,88.151,86.5195,
2026-03-02,93.1,95.2,91.88,94.32,51307052,4802574204.16,2,1.639,1.4194,90.85999999999999,88.913,87.023,
2026-03-03,95.0,95.45,90.8,91.09,49528741,4586923472.4,2,1.5821,-3.4245,91.628,89.32,87.329,
2026-03-04,89.06,90.26,87.24,88.46,44194653,3911974654.24,2,1.4118,-2.8873,91.378,89.566,87.517,
2026-03-05,89.99,90.45,87.69,89.2,30058218,2671502347.8,2,0.9602,0.8365,91.214,89.601,87.6115,
2026-03-06,88.65,93.48,87.6,93.0,38044628,3482623083.67,2,1.2153,4.2601,91.214,90.101,87.8815,
2026-03-09,93.99,97.0,89.01,89.96,69314803,6380575818.55,2,2.2142,-3.2688,90.34200000000001,90.601,87.981,
2026-03-10,88.03,89.2,87.0,88.21,42417436,3728419308.07,2,1.355,-1.9453,89.76599999999999,90.69699999999999,88.375,
2026-03-11,88.21,90.3,84.68,89.45,61656514,5358350395.05,2,1.9696,1.4057,89.964,90.671,88.6805,
2026-03-12,89.41,90.3,86.5,86.6,52975470,4670125122.19,2,1.6923,-3.1861,89.444,90.329,88.7705,
2026-03-13,86.31,87.98,84.17,84.5,49137122,4217892402.78,2,1.5696,-2.4249,87.744,89.479,88.815,
2026-03-16,84.1,84.2,78.12,79.43,79853882,6392087320.71,2,2.5509,-6.0,85.63799999999999,87.99,88.4515,
2026-03-17,79.96,82.49,79.88,80.15,43674654,3553075231.51,2,1.3951,0.9065,84.026,86.896,88.108,
2026-03-18,80.2,80.88,79.05,80.66,27604384,2205209468.98,2,0.8818,0.6363,82.268,86.116,87.841,82.894
2026-03-19,80.0,80.55,78.0,78.43,35235387,2780692476.41,2,1.1256,-2.7647,80.63399999999999,85.039,87.32,83.03966666666666
2026-03-20,78.42,79.4,77.0,77.0,42252958,3284093143.15,2,1.3497,-1.8233,79.13399999999999,83.439,86.77,83.15516666666666
2026-03-23,75.43,76.97,73.36,75.01,45066069,3388427256.63,2,1.4396,-2.5844,78.25000000000001,81.94399999999999,86.27250000000001,83.16833333333334
2026-03-24,75.8,76.04,73.55,75.13,31862778,2378062980.59,2,1.0178,0.16,77.24600000000001,80.636,85.66650000000001,83.16149999999999
2026-03-25,76.35,79.34,76.3,78.45,38063871,2978711609.05,2,1.2159,4.419,76.804,79.536,85.10350000000001,83.20916666666668
2026-03-26,78.0,80.89,77.6,79.23,33646230,2676734858.41,2,1.0748,0.9943,76.96400000000001,78.799,84.564,83.26650000000001
2026-03-27,78.0,80.84,77.84,79.98,27993247,2234880704.01,2,0.8942,0.9466,77.56000000000002,78.34700000000001,83.913,83.35283333333334
2026-03-30,78.96,80.75,78.9,80.61,26240849,2098536142.96,2,0.8382,0.7877,78.67999999999999,78.465,83.22749999999999,83.41183333333332
2026-03-31,80.71,81.2,79.22,79.45,18698095,1496956750.78,2,0.5973,-1.439,79.54400000000001,78.395,82.6455,83.45750000000001
2026-04-01,80.9,83.42,80.9,82.87,36932112,3038997202.63,2,1.1798,4.3046,80.428,78.616,82.366,83.55566666666667
2026-04-02,82.61,83.46,81.9,82.71,21918899,1813007948.4,2,0.7002,-0.1931,81.124,79.04400000000001,82.0415,83.665
2026-04-03,83.3,84.28,82.03,82.38,24940303,2074026347.16,2,0.7967,-0.399,81.604,79.58200000000001,81.5105,83.75466666666668
2026-04-07,81.8,86.78,81.8,86.27,42361030,3622170689.69,2,1.3532,4.722,82.736,80.708,81.326,83.9145
2026-04-08,85.0,87.01,83.99,86.44,38249893,3300166831.62,2,1.2219,0.1971,84.134,81.83900000000001,81.2375,84.06633333333335
2026-04-09,85.91,87.8,85.59,87.59,29631530,2577943443.01,2,0.9466,1.3304,85.078,82.753,81.14450000000001,84.14366666666666
2026-04-10,87.86,89.6,87.0,89.07,29127675,2586887355.26,2,0.9305,1.6897,86.35,83.737,81.268,84.26266666666668
